,start_session,end_session,user_id,sex,platform,category,consultation,cons_duration,number_of_products,basket_amount
0,2024-10-01 00:15:51,2024-10-01 00:55:17,5209870,М,mobile,товары для животных,True,13,1,348
1,2024-10-01 00:27:06,2024-10-01 00:38:29,2540815,М,desktop,электроника,False,0,1,162
2,2024-10-01 00:52:36,2024-10-01 01:03:10,5305770,М,desktop,одежда и обувь,False,0,3,8188
3,2024-10-01 01:04:17,2024-10-01 01:39:10,5858087,М,mobile,одежда и обувь,False,0,5,11640
4,2024-10-01 01:08:44,2024-10-01 01:21:21,5711053,Ж,mobile,одежда и обувь,False,0,1,2438
5,2024-10-01 01:23:00,2024-10-01 01:52:18,3046228,М,mobile,одежда и обувь,True,10,5,11364
6,2024-10-01 01:26:42,2024-10-01 01:56:58,3365488,М,desktop,все для дома,False,0,4,23301
7,2024-10-01 01:37:37,2024-10-01 02:11:07,6286723,Ж,desktop,красота и здоровье,False,0,6,2575
8,2024-10-01 01:38:22,2024-10-01 01:56:48,8145525,Ж,mobile,одежда и обувь,True,8,2,10430
9,2024-10-01 01:39:36,2024-10-01 02:14:10,8280464,Ж,desktop,одежда и обувь,True,13,4,26667
10,2024-10-01 01:45:47,2024-10-01 02:18:16,7617734,Ж,desktop,красота и здоровье,True,11,2,604
11,2024-10-01 01:57:41,2024-10-01 02:25:41,5733358,М,desktop,детские товары,False,0,1,4570
12,2024-10-01 02:11:41,2024-10-01 02:32:39,7312450,Ж,mobile,красота и здоровье,False,0,3,1751
13,2024-10-01 02:11:52,2024-10-01 02:29:22,3787916,М,mobile,все для дома,True,5,5,14962
14,2024-10-01 02:15:04,2024-10-01 02:31:14,7601998,Ж,mobile,красота и здоровье,False,0,6,1627
15,2024-10-01 02:34:31,2024-10-01 03:01:12,5555979,М,mobile,одежда и обувь,False,0,2,5309
16,2024-10-01 02:34:44,2024-10-01 02:59:38,7421173,Ж,desktop,одежда и обувь,False,0,1,866
17,2024-10-01 02:38:15,2024-10-01 02:55:24,2273480,Ж,desktop,одежда и обувь,False,0,2,3960
18,2024-10-01 03:02:00,2024-10-01 03:41:53,8887009,М,desktop,товары для животных,True,13,3,464
19,2024-10-01 03:10:22,2024-10-01 03:29:19,3946416,М,mobile,красота и здоровье,True,6,4,4182
20,2024-10-01 03:27:20,2024-10-01 03:48:27,7694004,М,mobile,детские товары,False,0,4,20354
21,2024-10-01 03:28:09,2024-10-01 03:39:33,3160151,М,desktop,одежда и обувь,False,0,1,504
22,2024-10-01 03:29:41,2024-10-01 03:50:15,8430684,Ж,mobile,все для дома,False,0,4,3059
23,2024-10-01 03:35:29,2024-10-01 04:05:23,3450835,Ж,desktop,все для дома,False,0,5,11267
24,2024-10-01 03:40:57,2024-10-01 04:18:42,8796220,Ж,mobile,канцелярия,False,0,2,2667
25,2024-10-01 04:07:55,2024-10-01 04:30:53,3891746,М,desktop,одежда и обувь,False,0,1,245
26,2024-10-01 04:16:20,2024-10-01 04:38:56,6272646,Ж,desktop,одежда и обувь,True,8,3,326
27,2024-10-01 04:24:31,2024-10-01 04:51:35,6766402,Ж,mobile,электроника,True,12,6,32735
28,2024-10-01 04:49:58,2024-10-01 05:25:14,8482662,М,desktop,одежда и обувь,False,0,1,193
29,2024-10-01 05:00:27,2024-10-01 05:38:20,5948398,М,desktop,товары для животных,False,0,6,2101
30,2024-10-01 05:11:13,2024-10-01 05:30:29,2205845,Ж,mobile,все для дома,False,0,5,792
31,2024-10-01 05:18:14,2024-10-01 05:51:54,5638219,М,mobile,все для дома,False,0,1,181
32,2024-10-01 05:40:07,2024-10-01 05:57:14,2897018,Ж,mobile,красота и здоровье,True,6,4,1168
33,2024-10-01 05:42:44,2024-10-01 06:04:59,7415125,Ж,mobile,одежда и обувь,True,8,6,5261
34,2024-10-01 05:58:16,2024-10-01 06:12:53,7094370,Ж,mobile,детские товары,True,7,5,9744
35,2024-10-01 06:00:38,2024-10-01 06:22:23,4335414,М,desktop,канцелярия,False,0,2,196
36,2024-10-01 06:19:38,2024-10-01 06:40:50,5626404,М,mobile,все для дома,True,8,5,11814
37,2024-10-01 06:34:16,2024-10-01 06:54:10,7150763,Ж,mobile,одежда и обувь,True,6,4,12002
38,2024-10-01 06:45:02,2024-10-01 07:12:15,7997284,М,desktop,детские товары,False,0,6,1675
39,2024-10-01 06:50:07,2024-10-01 07:23:07,5766421,М,desktop,товары для животных,False,0,1,387
40,2024-10-01 07:06:30,2024-10-01 07:27:40,8030251,Ж,mobile,одежда и обувь,True,6,5,8156
41,2024-10-01 07:33:04,2024-10-01 07:49:15,1161019,М,mobile,одежда и обувь,True,7,5,44351
42,2024-10-01 07:49:59,2024-10-01 08:08:11,4838847,М,mobile,детские товары,True,8,2,4250
43,2024-10-01 08:08:06,2024-10-01 08:42:41,3560129,М,desktop,детские товары,True,12,3,2972
44,2024-10-01 08:26:54,2024-10-01 09:04:18,5883155,Ж,mobile,электроника,True,13,5,17934
45,2024-10-01 08:33:56,2024-10-01 08:51:06,2922373,М,mobile,одежда и обувь,True,6,6,26386
46,2024-10-01 08:49:07,2024-10-01 09:27:20,5159560,М,mobile,красота и здоровье,False,0,1,1316
47,2024-10-01 09:15:28,2024-10-01 09:30:09,2384827,Ж,mobile,одежда и обувь,False,0,3,19055
48,2024-10-01 09:40:28,2024-10-01 09:51:32,1660423,М,mobile,одежда и обувь,False,0,4,1597
49,2024-10-01 10:04:58,2024-10-01 10:31:42,8170011,М,mobile,все для дома,True,8,5,21853
50,2024-10-01 10:30:26,2024-10-01 11:07:07,6956440,Ж,mobile,красота и здоровье,True,17,1,2111
51,2024-10-01 10:37:12,2024-10-01 11:11:39,5841376,М,desktop,детские товары,False,0,4,11597
52,2024-10-01 10:37:29,2024-10-01 11:17:29,1559646,М,desktop,одежда и обувь,False,0,6,9035
53,2024-10-01 10:58:15,2024-10-01 11:16:46,8537480,Ж,desktop,все для дома,False,0,6,7381
54,2024-10-01 11:04:15,2024-10-01 11:39:31,5650431,Ж,mobile,все для дома,True,13,5,7975
55,2024-10-01 11:24:22,2024-10-01 12:02:25,2119409,М,mobile,красота и здоровье,False,0,2,600
56,2024-10-01 11:47:13,2024-10-01 12:24:09,7585375,М,mobile,одежда и обувь,False,0,1,2085
57,2024-10-01 12:00:38,2024-10-01 12:16:05,6499021,Ж,desktop,все для дома,False,0,4,667
58,2024-10-01 12:15:55,2024-10-01 12:52:51,5655515,Ж,desktop,канцелярия,False,0,3,2030
59,2024-10-01 12:15:55,2024-10-01 12:54:36,1736561,Ж,desktop,одежда и обувь,False,0,4,776
60,2024-10-01 12:26:17,2024-10-01 12:38:18,7961917,Ж,desktop,электроника,False,0,2,618
61,2024-10-01 12:50:15,2024-10-01 13:22:35,8766467,Ж,mobile,все для дома,True,14,3,6907
62,2024-10-01 12:59:30,2024-10-01 13:32:57,5810190,М,mobile,все для дома,False,0,4,1976
63,2024-10-01 13:23:20,2024-10-01 13:56:01,5542894,Ж,mobile,все для дома,False,0,3,3672
64,2024-10-01 13:46:50,2024-10-01 14:21:41,2698585,Ж,desktop,электроника,False,0,1,6474
65,2024-10-01 13:58:57,2024-10-01 14:21:57,6530911,Ж,desktop,одежда и обувь,False,0,6,51783
66,2024-10-01 13:59:41,2024-10-01 14:23:40,1519137,М,mobile,детские товары,False,0,3,14622
67,2024-10-01 14:09:11,2024-10-01 14:33:56,7258349,М,mobile,канцелярия,True,10,3,3358
68,2024-10-01 14:28:34,2024-10-01 14:57:32,1504509,М,mobile,все для дома,False,0,4,17842
69,2024-10-01 14:30:17,2024-10-01 15:08:28,5922418,Ж,mobile,канцелярия,False,0,4,428
70,2024-10-01 14:56:38,2024-10-01 15:08:30,6732597,Ж,mobile,канцелярия,False,0,5,283
71,2024-10-01 14:58:11,2024-10-01 15:23:10,5761584,М,mobile,канцелярия,False,0,2,1525
72,2024-10-01 15:06:02,2024-10-01 15:36:19,2190541,М,desktop,красота и здоровье,False,0,6,12756
73,2024-10-01 15:13:11,2024-10-01 15:49:43,7106271,М,desktop,канцелярия,False,0,6,5007
74,2024-10-01 15:25:20,2024-10-01 15:46:15,4218347,Ж,mobile,одежда и обувь,False,0,6,3404
75,2024-10-01 15:53:19,2024-10-01 16:14:17,2848292,Ж,mobile,одежда и обувь,False,0,1,14170
76,2024-10-01 15:55:47,2024-10-01 16:09:58,5875007,М,mobile,товары для животных,True,6,4,1493
77,2024-10-01 16:15:14,2024-10-01 16:36:44,8015169,М,desktop,одежда и обувь,True,7,1,1944
78,2024-10-01 16:25:16,2024-10-01 16:45:04,3487449,Ж,mobile,канцелярия,True,7,1,141
79,2024-10-01 16:32:25,2024-10-01 16:43:20,3282237,Ж,mobile,одежда и обувь,False,0,5,3584
80,2024-10-01 16:54:11,2024-10-01 17:29:02,8720810,М,mobile,детские товары,False,0,2,5198
81,2024-10-01 17:16:31,2024-10-01 17:53:02,3789926,Ж,mobile,красота и здоровье,True,13,4,2254
82,2024-10-01 17:35:51,2024-10-01 18:12:41,8518858,Ж,desktop,товары для животных,False,0,3,187
83,2024-10-01 17:37:34,2024-10-01 18:12:53,3212257,М,mobile,детские товары,False,0,4,12632
84,2024-10-01 17:45:19,2024-10-01 17:58:13,7190361,Ж,mobile,электроника,False,0,3,28866
85,2024-10-01 18:06:57,2024-10-01 18:32:47,1677747,Ж,mobile,одежда и обувь,False,0,6,46389
86,2024-10-01 18:08:49,2024-10-01 18:35:44,2366372,Ж,desktop,детские товары,True,12,2,944
87,2024-10-01 18:28:48,2024-10-01 18:51:42,5677248,М,mobile,красота и здоровье,False,0,4,10080
88,2024-10-01 18:38:02,2024-10-01 18:59:38,7158713,М,desktop,детские товары,False,0,1,7645
89,2024-10-01 18:58:19,2024-10-01 19:38:06,3304402,М,mobile,электроника,False,0,3,3871
90,2024-10-01 19:23:04,2024-10-01 19:48:52,1569337,Ж,desktop,одежда и обувь,True,9,5,18426
91,2024-10-01 19:42:00,2024-10-01 20:12:17,5647502,М,desktop,одежда и обувь,True,11,4,527
92,2024-10-01 19:57:55,2024-10-01 20:16:58,8033237,Ж,mobile,одежда и обувь,True,6,1,5577
93,2024-10-01 20:21:29,2024-10-01 20:59:03,6241801,Ж,mobile,все для дома,False,0,6,34672
